GAME_ID,player_id,person_id,first_name,last_name,jersey_number,position_str,shots,shots_on,goals,assists,faceoff_wins,faceoff_attempts,plusminus,hits,pim,H_A,team_name,PP_G,PP_A1,PP_A2,EV_G,EV_A2,EV_GF,EV_GA,EV_A1,game_number,SH_A1,SH_A2,SH_G
1018606,29148,9645,Justice,Christensen,7,D,1,1,0,0,0,0,0,0,2,H,Prince Albert Raiders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0
1018606,28051,8328,Trevor,Thurston,8,D,4,4,1,0,0,0,-3,0,0,H,Prince Albert Raiders,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3,0.0,0.0,0.0
1018606,28536,8887,Terrell,Goldsmith,10,D,1,1,1,0,0,0,-1,0,5,H,Prince Albert Raiders,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0
1018606,28825,9233,Hayden,Pakkala,11,C,2,2,0,0,6,14,-2,0,0,H,Prince Albert Raiders,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0
1018606,28968,9423,Vladislav,Shilo,15,C,2,2,0,0,8,13,-1,0,2,H,Prince Albert Raiders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0
1018606,29053,9532,Cole,Peardon,16,C,1,1,0,0,2,4,0,0,2,H,Prince Albert Raiders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0
1018606,28391,8712,Keaton,Sorensen,20,C,0,0,0,0,2,3,-1,0,0,H,Prince Albert Raiders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0
1018606,29150,9647,Ryder,Ritchie,21,LW,3,3,0,0,0,0,-2,0,0,H,Prince Albert Raiders,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0
1018606,27992,8234,Evan,Herman,22,C,2,2,0,1,13,22,-3,0,4,H,Prince Albert Raiders,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3,0.0,0.0,0.0
1018606,28298,8618,Sloan,Stanick,23,LW,1,1,0,2,0,0,-2,0,0,H,Prince Albert Raiders,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3,0.0,0.0,0.0
1018606,28403,8724,Niall,Crocker,24,RW,3,3,0,0,0,0,-2,0,0,H,Prince Albert Raiders,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,0.0,0.0,0.0
1018606,28807,9201,Dallyn,Peekeekoot,26,RW,1,1,0,0,0,0,-1,0,0,H,Prince Albert Raiders,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0
1018606,28891,9331,Jesiah,Bennett,27,RW,0,0,0,0,0,0,0,0,0,H,Prince Albert Raiders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0
1018606,29149,9646,Grady,Martin,28,C,1,1,0,0,0,0,0,0,0,H,Prince Albert Raiders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0
1018606,28914,9356,Harrison,Lodewyk,29,RW,0,0,0,1,2,3,0,0,0,H,Prince Albert Raiders,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,0.0,0.0,0.0
1018606,28453,8796,Tre,Fouquette,32,D,0,0,0,0,0,0,-1,0,0,H,Prince Albert Raiders,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0
1018606,28731,9098,Ben,Saunderson,2,D,0,0,0,0,0,0,0,0,0,A,Saskatoon Blades,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0.0,0.0,0.0
1018606,27869,8066,Aidan,De La Gorgendiere,5,D,3,3,1,0,0,0,+1,0,0,A,Saskatoon Blades,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3,0.0,0.0,0.0
1018606,28354,8675,Brandon,Lisowsky,8,LW,5,5,0,2,0,0,+3,0,4,A,Saskatoon Blades,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,3,0.0,0.0,0.0
1018606,28895,9335,Misha,Volotovskii,17,LW,2,2,0,0,9,13,0,0,0,A,Saskatoon Blades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0
