shots,points,EVprimarypoints,plusminus,SH_A1,pim,team_name,name,SH_A2,EV_G,hits,position_str,SH_G,faceoff_attempts,person_id,5v5_A2,EV_A2,EV_A1,PP_G,assists,jersey_number,GAME_ID,faceoff_wins,PP_A1,H_A,PP_A2,player_id,5v5_A1,goals,5v5primarypoints,game_number,5v5_G,birthdate_year,primarypoints
0,0,0.0,0,0.0,0,Cowichan Valley Capitals,Greye Rampton,0.0,0.0,0,RW,0.0,0,9676,0,0.0,0.0,0.0,0,27,11355,0,0.0,H,0.0,7607,0,0,0,2,0,2004,0.0
0,0,0.0,0,0.0,0,West Kelowna Warriors,Jake Bernadet,0.0,0.0,0,C,0.0,0,9728,0,0.0,0.0,0.0,0,5,11355,0,0.0,A,0.0,7659,0,0,0,2,0,2003,0.0
0,2,1.0,0,0.0,0,West Kelowna Warriors,Matthew Fusco,0.0,1.0,0,D,0.0,0,9725,0,0.0,0.0,1.0,0,7,11355,0,0.0,A,0.0,7656,0,2,0,2,0,2003,0.0
0,0,0.0,0,0.0,0,West Kelowna Warriors,Dylan Brooks,0.0,0.0,0,D,0.0,0,8766,0,0.0,0.0,0.0,0,8,11355,0,0.0,A,0.0,6763,0,0,0,2,0,2003,0.0
0,0,0.0,0,0.0,0,West Kelowna Warriors,Ben MacDonald,0.0,0.0,0,C,0.0,0,9729,0,0.0,0.0,0.0,0,9,11355,0,0.0,A,0.0,7660,0,0,0,2,0,2004,0.0
0,1,0.0,0,0.0,0,West Kelowna Warriors,Rylee Hlusiak,0.0,0.0,0,LW,0.0,0,9724,0,1.0,0.0,0.0,1,10,11355,0,0.0,A,0.0,7655,0,0,0,2,0,2002,0.0
0,0,0.0,0,0.0,0,West Kelowna Warriors,Jaiden Moriello,0.0,0.0,0,RW,0.0,0,9731,0,0.0,0.0,0.0,0,11,11355,0,0.0,A,0.0,7662,0,0,0,2,0,2003,0.0
0,1,1.0,0,0.0,0,West Kelowna Warriors,Brennan Nelson,0.0,0.0,0,RW,0.0,0,8380,0,0.0,1.0,0.0,1,12,11355,0,0.0,A,0.0,6442,0,0,0,2,0,2003,0.0
0,0,0.0,0,0.0,2,West Kelowna Warriors,Felix Caron,0.0,0.0,0,LW,0.0,0,9431,0,0.0,0.0,0.0,0,13,11355,0,0.0,A,0.0,7392,0,0,0,2,0,2004,0.0
0,0,0.0,0,0.0,2,West Kelowna Warriors,Nolan Hayes,0.0,0.0,0,D,0.0,0,9730,0,0.0,0.0,0.0,0,14,11355,0,0.0,A,0.0,7661,0,0,0,2,0,2002,0.0
0,0,0.0,0,0.0,0,West Kelowna Warriors,Michael Salandra,0.0,0.0,0,LW,0.0,0,9723,0,0.0,0.0,0.0,0,15,11355,0,0.0,A,0.0,7654,0,0,0,2,0,2003,0.0
0,0,0.0,0,0.0,0,West Kelowna Warriors,Isaiah Norlin,0.0,0.0,0,D,0.0,0,8928,0,0.0,0.0,0.0,0,16,11355,0,0.0,A,0.0,6914,0,0,0,2,0,2003,0.0
0,0,0.0,0,0.0,0,West Kelowna Warriors,Alexi Van Houtte-Cachero,0.0,0.0,0,LW,0.0,0,8927,0,0.0,0.0,0.0,0,17,11355,0,0.0,A,0.0,6913,0,0,0,2,0,2003,0.0
0,0,0.0,0,0.0,0,West Kelowna Warriors,Noah Laframboise,0.0,0.0,0,D,0.0,0,9733,0,0.0,0.0,0.0,0,18,11355,0,0.0,A,0.0,7664,0,0,0,2,0,2005,0.0
0,0,0.0,0,0.0,0,West Kelowna Warriors,Matthew Lee,0.0,0.0,0,RW,0.0,0,9727,0,0.0,0.0,0.0,0,19,11355,0,0.0,A,0.0,7658,0,0,0,2,0,2005,0.0
0,0,0.0,0,0.0,0,West Kelowna Warriors,Aiden Reeves,0.0,0.0,0,D,0.0,0,8183,0,0.0,0.0,0.0,0,25,11355,0,0.0,A,0.0,6249,0,0,0,2,0,2002,0.0
0,0,0.0,0,0.0,0,West Kelowna Warriors,Christopher Duclair,0.0,0.0,0,RW,0.0,0,9520,0,0.0,0.0,0.0,0,26,11355,0,0.0,A,0.0,7454,0,0,0,2,0,2002,0.0
0,0,0.0,0,0.0,0,West Kelowna Warriors,Kailus Green,0.0,0.0,0,C,0.0,0,9281,0,0.0,0.0,0.0,0,27,11355,0,0.0,A,0.0,7247,0,0,0,2,0,2004,0.0
0,0,0.0,0,0.0,0,West Kelowna Warriors,Luke Devlin,0.0,0.0,0,C,0.0,0,9732,0,0.0,0.0,0.0,0,28,11355,0,0.0,A,0.0,7663,0,0,0,2,0,2004,0.0
0,0,0.0,0,0.0,0,Merritt Centennials,Josh Wessels,0.0,0.0,0,D,0.0,0,7567,0,0.0,0.0,0.0,0,3,11356,0,0.0,H,0.0,5656,0,0,0,3,0,2003,0.0
0,0,0.0,0,0.0,0,Merritt Centennials,Kyle Isenberg,0.0,0.0,0,RD,0.0,0,9455,0,0.0,0.0,0.0,0,4,11356,0,0.0,H,0.0,7402,0,0,0,3,0,2004,0.0
0,0,0.0,0,0.0,0,Merritt Centennials,Jake Geraci,0.0,0.0,0,D,0.0,0,9798,0,0.0,0.0,0.0,0,6,11356,0,0.0,H,0.0,7729,0,0,0,3,0,2003,0.0
0,0,0.0,0,0.0,0,Merritt Centennials,Tristan Allen,0.0,0.0,0,RD,0.0,0,8776,0,0.0,0.0,0.0,0,8,11356,0,0.0,H,0.0,6773,0,0,0,3,0,2003,0.0
0,0,0.0,0,0.0,0,Merritt Centennials,Brandon Sacchetti,0.0,0.0,0,LW,0.0,0,9655,0,0.0,0.0,0.0,0,9,11356,0,0.0,H,0.0,7586,0,0,0,3,0,2002,0.0
0,0,0.0,0,0.0,2,Merritt Centennials,Christian Lowe,0.0,0.0,0,C,0.0,0,7664,0,0.0,0.0,0.0,0,10,11356,0,0.0,H,0.0,5753,0,0,0,3,0,2002,0.0
0,0,0.0,0,0.0,2,Merritt Centennials,Jacob Smith,0.0,0.0,0,RW,0.0,0,8853,0,0.0,0.0,0.0,0,11,11356,0,0.0,H,0.0,6842,0,0,0,3,0,2004,0.0
0,0,0.0,0,0.0,0,Merritt Centennials,Chase Cooke,0.0,0.0,0,LD,0.0,0,8135,0,0.0,0.0,0.0,0,12,11356,0,0.0,H,0.0,6210,0,0,0,3,0,2003,0.0
0,1,1.0,0,0.0,0,Merritt Centennials,Walker Erickson,0.0,0.0,0,LW,0.0,0,7912,0,0.0,1.0,0.0,1,14,11356,0,0.0,H,0.0,5991,0,0,0,3,0,2002,0.0
0,0,0.0,0,0.0,0,Merritt Centennials,Carter Patterson,0.0,0.0,0,RD,0.0,0,9994,0,0.0,0.0,0.0,0,15,11356,0,0.0,H,0.0,7914,0,0,0,3,0,2003,0.0
0,0,0.0,0,0.0,0,Merritt Centennials,Damon Jugnauth,0.0,0.0,0,LW,0.0,0,8673,0,0.0,0.0,0.0,0,17,11356,0,0.0,H,0.0,6679,0,0,0,3,0,2003,0.0
0,0,0.0,0,0.0,0,Merritt Centennials,Jackson Krill,0.0,0.0,0,RW,0.0,0,8615,0,0.0,0.0,0.0,0,18,11356,0,0.0,H,0.0,6621,0,0,0,3,0,2004,0.0
0,1,1.0,0,0.0,4,Merritt Centennials,Davide Patella,0.0,0.0,0,C,0.0,0,9142,0,0.0,1.0,0.0,1,19,11356,0,0.0,H,0.0,7126,0,0,0,3,0,2004,0.0
0,1,0.0,0,0.0,0,Merritt Centennials,Jaxson Murray,0.0,0.0,0,RW,0.0,0,9657,0,1.0,0.0,0.0,1,21,11356,0,0.0,H,0.0,7588,0,0,0,3,0,2003,0.0
