GAME_ID,game_number,H_A,team_name,player_id,person_id,name,birth_date,birthdate_year,OA,jersey_number,position_str,shots,goals,assists,points,primarypoints,5v5primarypoints,EVprimarypoints,plusminus,hits,pim,5v5_G,5v5_A1,5v5_A2,EV_G,EV_A1,EV_A2,PP_G,PP_A1,PP_A2,SH_G,SH_A1,SH_A2,5v5_GF,5v5_GA,5v5_GF%,faceoff_wins,faceoff_attempts
1020217,2,H,Prince Albert Raiders,29415,9986,Benett Kelly,2008-02-04,2008,0,25,D,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1020217,2,H,Prince Albert Raiders,29149,9646,Grady Martin,2006-04-26,2006,0,28,C,0,0,0,0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1020217,2,H,Prince Albert Raiders,28914,9356,Harrison Lodewyk,2005-03-01,2005,0,29,RW,0,1,0,1,0.0,0.0,1.0,+1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1020217,2,H,Prince Albert Raiders,29419,9990,Matej Kubiesa,2006-09-11,2006,0,32,RW,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1020217,2,H,Prince Albert Raiders,29420,9991,Krzysztof Macias,2004-05-14,2004,0,34,LW,0,0,0,0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1020217,2,H,Prince Albert Raiders,29157,9655,Dayce Derkatch,2007-05-30,2007,0,41,C,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1020217,2,H,Prince Albert Raiders,29416,9987,Daxon Rudolph,2008-03-06,2008,0,42,D,0,0,0,0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1020217,2,H,Prince Albert Raiders,29421,9992,Riley Boychuk,2008-01-31,2008,0,43,RW,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1020217,2,A,Saskatoon Blades,29161,9659,Jordan Martin,2007-01-08,2007,0,3,D,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1020217,2,A,Saskatoon Blades,29162,9660,Brayden Klimpke,2007-10-08,2007,0,4,D,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1020217,2,A,Saskatoon Blades,29160,9658,Hudson Kibblewhite,2007-04-07,2007,0,11,RW,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1020217,2,A,Saskatoon Blades,29163,9661,Isaac Poll,2007-03-03,2007,0,13,D,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1020217,2,A,Saskatoon Blades,29425,9997,Colten Worthington,2007-08-24,2007,0,14,LW,0,0,0,0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1020217,2,A,Saskatoon Blades,29433,10005,Liam Eisnor,2008-04-23,2008,0,16,D,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1020217,2,A,Saskatoon Blades,28895,9335,Misha Volotovskii,2005-06-23,2005,0,17,LW,0,0,1,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0,0
1020217,2,A,Saskatoon Blades,28901,9341,Tyler Parr,2005-01-30,2005,0,20,C,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1020217,2,A,Saskatoon Blades,29428,10000,Cooper Williams,2008-02-18,2008,0,25,C,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
